,xg_home_rolling_3,xg_away_rolling_3,elo_home_rolling_3,elo_away_rolling_3,elo_rolling_diff,xg_rolling_diff,goal_ratio_diff,ga_per_xGA_diff,gf_per_xG_diff,elo_diff_x_xg_diff,elo_diff_sq,goal_ratio_home_rolling_1,goal_ratio_away_rolling_1
131,0.7,0.6333333,1581.9773356,1664.2774658,-82.3001302,0.0666667,0.3492063,-0.4700577,-0.042735,-5.4866753,6773.3114364,1.5,0.5
132,3.2,1.8666667,1819.9459635,1582.7536621,237.1923014,1.3333333,1.6666667,-0.5525031,0.6685274,316.2564019,56260.1878592,2.0,0.6666667
133,1.3,0.8333333,1489.212443,1743.8389079,-254.6264648,0.4666667,0.0,-0.0254067,0.3325622,-118.8256836,64834.6365935,1.5,2.0
134,1.1333333,3.7666667,1615.8326009,1934.5923665,-318.7597656,-2.6333333,-1.1666667,-0.7142857,-0.4850834,839.4007162,101607.7881866,1.0,3.0
135,2.5666667,1.2666667,1823.9613037,1561.7365723,262.2247314,1.3,-0.8333333,0.8615459,-0.8699908,340.8921509,68761.8097753,1.5,2.0
136,1.5333333,1.3,1576.8630778,1630.0976155,-53.2345377,0.2333333,-1.2222222,1.2207808,-1.2241462,-12.4213921,2833.9160077,0.5,0.6666667
137,1.7666667,2.5666667,1692.5620524,1824.0855306,-131.5234782,-0.8,-0.7444444,-0.0161515,-0.3209762,105.2187825,17298.4253091,1.5,2.0
138,1.6,2.0666667,1724.0860596,1632.4796142,91.6064453,-0.4666667,-0.9444444,-0.3311068,-0.7804233,-42.7496745,8391.7408266,0.3333333,0.6666667
139,1.9,1.1333333,1695.0172933,1622.990682,72.0266113,0.7666667,-0.4555556,1.1578283,0.0740741,55.220402,5187.8327402,0.5,0.2
140,2.2666667,1.3333333,1644.949178,1492.4500732,152.4991048,0.9333333,0.2555556,-0.4467709,0.2000098,142.3324978,23255.9769648,1.5,0.4
141,3.0333333,1.9,1938.2794189,1697.7091065,240.5703125,1.1333333,1.6666667,-0.1746032,0.221916,272.6463541,57874.0752403,5.0,3.0
142,1.3333333,1.0,1736.4444173,1578.8194987,157.6249187,0.3333333,0.9166667,-0.8975469,0.5279035,52.5416396,24845.6149847,2.5,0.5
143,0.6666667,1.0333333,1652.0576986,1689.8111165,-37.753418,-0.3666667,-0.8333333,0.7651515,-1.2032967,13.8429199,1425.3205682,2.0,0.6666667
144,1.2,1.5,1625.8607178,1700.6027425,-74.7420248,-0.3,-0.4888889,-0.030537,-0.2586368,22.4226074,5586.3702662,1.5,0.1666667
145,1.2666667,2.2666667,1693.1031901,1736.7906494,-43.6874593,-1.0,-0.7777778,0.2626263,0.2089386,43.6874593,1908.594103,4.0,4.0
146,1.1,1.7,1575.3253581,1685.8950602,-110.5697022,-0.6,-0.9722222,0.206653,-0.551507,66.3418213,12225.6590372,0.25,3.0
147,1.3666667,0.6,1629.7262777,1643.81014,-14.0838623,0.7666667,-0.4166667,0.4636083,0.5555556,-10.7976278,198.3551773,0.3333333,0.25
148,2.3666667,1.5333333,1826.8451741,1721.2777913,105.5673828,0.8333333,0.3333333,0.7513228,0.4667778,87.972819,11144.4723112,0.3333333,2.0
149,2.9,1.3,1822.233317,1570.4879964,251.7453206,1.6,0.3333333,0.2703506,-0.1580152,402.792513,63375.706444,3.0,3.0
150,1.7333333,2.8333333,1635.0610758,1942.2734782,-307.2124023,-1.1,-4.1111111,1.0331825,-0.7804168,337.9336426,94379.4601474,0.5,6.0
151,1.0,2.1666667,1575.1989746,1647.7141927,-72.5152181,-1.1666667,0.5,-0.0889724,1.0144088,84.6010877,5258.4568513,0.3333333,0.3333333
152,1.7666667,1.3666667,1493.1595459,1689.0347087,-195.8751628,0.4,1.1333333,-0.7859399,0.5006962,-78.3500651,38367.0794019,3.0,0.6666667
153,1.4333333,1.5333333,1690.1212565,1622.4868571,67.6343994,-0.1,1.0,-0.5933076,0.0808081,-6.7634399,4574.4119867,1.0,1.5
154,1.2,1.4333333,1701.4320475,1501.0108642,200.4211833,-0.2333333,0.0555556,-1.2227522,-0.9963798,-46.7649428,40168.6507154,1.0,0.6
155,1.5666667,0.8,1679.9141439,1573.2301025,106.6840413,0.7666667,0.3611111,0.9996098,0.478836,81.7910984,11381.4846752,1.6666667,1.0
156,1.0666667,1.0666667,1628.2669678,1627.5151367,0.751831,0.0,0.3444444,-0.6346366,-0.959695,0.0,0.5652499,1.0,0.5
157,2.8333333,3.1333333,1742.9718425,1822.4810791,-79.5092366,-0.3,-1.1111111,-0.3799534,-0.4618185,23.852771,6321.71871,0.6666667,6.0
158,0.7333333,0.7,1638.8777669,1571.1769206,67.7008463,0.0333333,-0.25,0.0592743,-0.2513228,2.2566949,4583.4045942,0.6666667,0.1666667
159,1.4333333,1.7,1645.6855875,1697.7801107,-52.0945231,-0.2666667,-1.3777778,0.4519783,-0.8642534,13.8918728,2713.8393405,0.2,1.5
160,3.0,1.6,1946.4619954,1824.228068,122.2339274,1.4,3.2222222,-0.8333333,0.3218111,171.1274984,14941.1330076,2.0,1.0
161,2.2,1.4,1827.4851888,1697.4781494,130.0070394,0.8,-0.0666667,0.495338,0.545283,104.0056315,16901.8302849,0.8,6.0
162,1.1666667,0.9666667,1502.4453125,1630.3242594,-127.8789469,0.2,0.5333333,0.5714286,0.6994611,-25.5757894,16353.0250688,1.0,0.5
163,1.1666667,1.5333333,1618.7698161,1637.3957519,-18.6259359,-0.3666667,-0.1777778,1.4754792,0.3888889,6.8295098,346.9254869,0.1666667,2.0
164,0.6666667,1.5,1569.6576742,1719.5904948,-149.9328206,-0.8333333,-0.3611111,-0.2512721,0.1841677,124.9440172,22479.8507031,1.0,1.0
165,1.1666667,2.7,1572.6283773,1744.3194987,-171.6911214,-1.5333333,0.0833333,-0.7928087,-0.2767216,263.2597195,29477.841179,3.0,1.25
166,1.5333333,0.8333333,1818.9586589,1634.5295003,184.4291586,0.7,0.3611111,-0.215781,-0.031746,129.100411,34014.1145296,1.0,0.3333333
167,1.9333333,1.3666667,1701.6290283,1674.3256429,27.3033854,0.5666667,0.8888889,-1.3313103,-0.481685,15.4719184,745.4748543,0.5,1.0
